ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
61934762,61934762,0,636076,0,0,636076,0,204146,603845,583036,234,828,11,1070,205387,962483,6724033,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
61946894,61946894,0,636144,0,0,636144,0,204146,603849,583042,234,828,11,1070,205387,962619,6727036,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
61960026,61960026,0,636232,0,0,636232,0,204156,603882,583076,234,828,11,1070,205397,962826,6729379,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
61972158,61972158,0,636300,0,0,636300,0,204156,603890,583083,234,828,11,1070,205397,963172,6731863,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
61984290,61984290,0,636368,0,0,636368,0,204156,603899,583094,234,828,11,1070,205397,963498,6734750,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62011926,62011926,0,636516,0,0,636516,0,204156,603993,583188,238,828,19,1070,205401,963766,6737068,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62026346,62026346,0,636608,0,0,636608,0,204156,604024,583220,238,828,19,1070,205401,964056,6738518,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62038478,62038478,0,636676,0,0,636676,0,204156,604053,583249,238,828,19,1070,205401,964332,6739452,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62055194,62055194,0,636796,0,0,636796,0,204156,604086,583282,238,828,11,1070,205401,964505,6740390,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62067326,62067326,0,636864,0,0,636864,0,204156,604093,583291,238,828,11,1070,205401,964642,6742007,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62079458,62079458,0,636932,0,0,636932,0,204156,604101,583299,238,828,11,1070,205401,964778,6744234,7617,30,1154043,1153463,7174026,6,0,0,16,3,0,0,3,3,0,0
62091590,62091590,0,637000,0,0,637000,0,204156,604108,583306,238,828,11,1070,205401,965038,6745331,7617,30,1156964,1156382,7200722,6,0,0,16,3,0,0,3,3,0,0
62103722,62103722,0,637068,0,0,637068,0,204156,604125,583323,238,828,11,1070,205401,965341,6746507,7617,30,1156964,1156382,7200722,6,0,0,16,3,0,0,3,3,0,0
62115854,62115854,0,637136,0,0,637136,0,204156,604137,583335,238,828,11,1070,205401,965495,6747262,7617,30,1156964,1156382,7200722,6,0,0,16,3,0,0,3,3,0,0
62127986,62127986,0,637204,0,0,637204,0,204156,604223,583421,242,828,19,1070,205405,965673,6748424,7617,30,1156964,1156382,7200722,6,0,0,16,3,0,0,3,3,0,0
62157910,62157910,0,637376,0,0,637376,0,204156,604256,583457,242,828,18,1070,205405,965844,6749868,7617,30,1156964,1156382,7200722,6,0,0,16,3,0,0,3,3,0,0
62171194,62171194,0,637456,0,0,637456,0,204156,604297,583498,242,828,18,1070,205405,966187,6751283,7617,30,1156964,1156382,7200722,6,0,0,16,3,0,0,3,3,0,0
