ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
33526346,33526346,0,185486,0,0,185486,0,2008,160450,142246,2,793,20,830,2887,807748,5037198,7576,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33538478,33538478,0,185554,0,0,185554,0,2009,161126,142791,2,793,20,831,2888,808199,5037271,7576,26,582637,582140,5070000,5,0,0,16,3,0,0,2,2,0,0
33550610,33550610,0,185622,0,0,185622,0,2009,161139,142802,2,793,20,831,2888,808267,5037339,7576,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33562742,33562742,0,185690,0,0,185690,0,2010,161165,142828,2,793,20,832,2889,808887,5037418,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33574874,33574874,0,185758,0,0,185758,0,2010,161168,142831,2,793,20,832,2889,809305,5037490,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33587006,33587006,0,185826,0,0,185826,0,2012,161197,142865,2,793,19,832,2890,809375,5037560,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33599138,33599138,0,185894,0,0,185894,0,2012,161208,142873,2,793,19,832,2890,809443,5037628,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33611270,33611270,0,185962,0,0,185962,0,2013,161227,142895,2,793,19,833,2891,809513,5037699,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33623402,33623402,0,186030,0,0,186030,0,2013,161233,142902,2,793,19,833,2891,809581,5037767,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33635534,33635534,0,186098,0,0,186098,0,2014,161257,142927,2,793,19,834,2892,809651,5037837,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33647666,33647666,0,186166,0,0,186166,0,2014,161260,142932,2,793,19,834,2892,809719,5037905,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33659798,33659798,0,186234,0,0,186234,0,2015,161287,142958,2,793,19,835,2893,809789,5037975,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33671930,33671930,0,186302,0,0,186302,0,2015,161296,142971,2,793,17,835,2893,809857,5038043,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33684062,33684062,0,186370,0,0,186370,0,2015,161301,142977,2,793,17,835,2893,809925,5038111,7617,26,583822,583325,5071149,5,0,0,16,3,0,0,2,2,0,0
33696194,33696194,0,186438,0,0,186438,0,2016,161319,142996,2,793,17,836,2894,809995,5038181,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33708326,33708326,0,186506,0,0,186506,0,2016,161319,142996,2,793,17,836,2894,810063,5038249,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33720458,33720458,0,186574,0,0,186574,0,2017,161337,143017,2,793,17,837,2895,810133,5038319,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
33732590,33732590,0,186642,0,0,186642,0,2017,161345,143026,2,793,16,837,2895,810201,5038387,7617,26,584676,584176,5071999,5,0,0,16,3,0,0,2,2,0,0
